"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
123,Lebanon,,422,B R,"523,693","608,303","692,913","756,784","820,655","1,973,204","1,939,212","267,922","310,613","353,305","390,331","427,358","948,425","932,449","255,771","297,690","339,608","366,453","393,297","1,024,779","1,006,763"
124,Oman,,512,C,"304,000","539,643","623,608","666,160","816,221","1,814,591","2,073,292","242,477","417,444","488,389","527,842","658,746","1,500,622","1,741,326","61,523","122,199","135,219","138,318","157,475","313,969","331,966"
125,Qatar,,634,C,"309,753","361,673","359,697","646,026","1,456,413","1,687,640","1,721,392","225,932","269,972","274,242","498,428","1,206,571","1,416,361","1,444,688","83,821","91,701","85,455","147,598","249,842","271,279","276,704"
126,Saudi Arabia,,682,C R,"4,998,445","5,122,702","5,263,387","6,501,819","8,429,956","10,771,366","12,185,284","3,324,873","3,416,485","3,517,768","4,469,805","5,933,281","7,461,502","8,341,564","1,673,572","1,706,217","1,745,619","2,032,014","2,496,675","3,309,864","3,843,720"
127,State of Palestine,12,275,B,"288,332","281,767","275,202","266,617","258,032","255,507","253,735","132,101","128,328","124,555","119,621","114,688","113,237","112,452","156,231","153,439","150,647","146,996","143,344","142,270","141,283"
128,Syrian Arab Republic,,760,C R,"714,140","830,610","832,273","876,410","1,785,115","993,940","1,013,818","364,077","423,115","426,633","449,470","911,756","507,660","517,813","350,063","407,495","405,640","426,940","873,359","486,280","496,005"
129,Turkey,,792,B R,"1,163,686","1,216,173","1,280,963","1,319,236","1,367,034","4,131,302","4,881,966","577,329","593,938","616,007","618,938","625,960","1,939,780","2,292,242","586,357","622,235","664,956","700,298","741,074","2,191,522","2,589,724"
130,United Arab Emirates,,784,C R,"1,306,574","1,824,118","2,446,675","3,281,036","7,316,611","7,995,126","8,312,524","932,046","1,309,952","1,757,144","2,388,278","5,463,515","5,970,310","6,207,324","374,528","514,166","689,531","892,758","1,853,096","2,024,816","2,105,200"
131,Yemen,,887,CR,"118,863","136,515","143,495","171,073","285,837","379,899","384,321","67,010","77,832","79,675","98,379","154,710","199,399","201,720","51,853","58,683","63,820","72,694","131,127","180,500","182,601"
132,EUROPE,,908,,"49,232,191","52,867,154","56,314,416","63,201,280","70,747,947","74,501,508","77,895,217","23,953,674","25,648,756","27,258,176","30,591,239","34,088,276","35,679,134","37,384,648","25,278,517","27,218,398","29,056,240","32,610,041","36,659,671","38,822,374","40,510,569"
133,Eastern Europe,,923,,"21,995,312","21,344,124","20,428,480","19,747,392","19,127,781","19,880,519","20,121,711","10,201,263","10,022,332","9,700,625","9,362,793","9,038,075","9,402,336","9,530,943","11,794,049","11,321,792","10,727,855","10,384,599","10,089,706","10,478,183","10,590,768"
134,Belarus,,112,B,"1,248,977","1,186,282","1,123,586","1,106,982","1,090,378","1,082,905","1,078,652","572,021","543,307","514,593","506,988","499,384","495,961","494,014","676,956","642,975","608,993","599,994","590,994","586,944","584,638"
135,Bulgaria,,100,B,"21,510","32,435","43,360","61,074","76,287","133,803","153,803","9,047","13,642","18,238","26,594","33,841","59,356","68,229","12,463","18,793","25,122","34,480","42,446","74,447","85,574"
136,Czechia,,203,C,"110,394","165,592","220,789","322,540","398,493","416,454","433,290","57,405","88,316","119,227","181,719","236,160","239,228","248,560","52,989","77,276","101,562","140,821","162,333","177,226","184,730"
137,Hungary,,348,B R,"347,510","322,234","296,957","366,787","436,616","475,508","503,787","156,185","147,202","138,219","174,216","210,212","235,719","251,937","191,325","175,032","158,738","192,571","226,404","239,789","251,850"
138,Poland,,616,B,"1,127,771","964,725","825,251","722,509","642,417","611,855","640,937","482,176","404,049","338,323","297,039","262,263","256,623","274,254","645,595","560,676","486,928","425,470","380,154","355,232","366,683"
139,Republic of Moldova,13,498,B,"544,162","367,231","247,828","173,957","157,668","142,904","140,045","239,616","161,706","109,129","76,600","60,541","50,545","49,534","304,546","205,525","138,699","97,357","97,127","92,359","90,511"
140,Romania,,642,B,"135,825","135,037","126,949","145,162","166,126","281,048","370,753","57,601","63,282","60,428","66,264","81,861","146,758","196,804","78,224","71,755","66,521","78,898","84,265","134,290","173,949"
141,Russian Federation,,643,B,"11,524,948","11,928,927","11,900,297","11,667,588","11,194,710","11,643,276","11,651,509","5,655,422","5,925,452","5,982,851","5,806,597","5,514,401","5,715,211","5,719,253","5,869,526","6,003,475","5,917,446","5,860,991","5,680,309","5,928,065","5,932,256"
142,Slovakia,,703,B,"41,295","69,323","116,376","130,491","146,319","177,624","184,642","18,187","30,531","51,253","58,716","66,938","89,011","93,294","23,108","38,792","65,123","71,775","79,381","88,613","91,348"
143,Ukraine,14,804,B,"6,892,920","6,172,338","5,527,087","5,050,302","4,818,767","4,915,142","4,964,293","2,953,603","2,644,845","2,368,364","2,168,060","2,072,474","2,113,924","2,135,064","3,939,317","3,527,493","3,158,723","2,882,242","2,746,293","2,801,218","2,829,229"
144,Northern Europe,,924,,"6,645,605","7,194,824","7,900,973","9,588,814","11,810,676","13,188,813","13,946,390","3,176,421","3,404,174","3,711,179","4,564,413","5,676,328","6,335,675","6,698,633","3,469,184","3,790,650","4,189,794","5,024,401","6,134,348","6,853,138","7,247,757"
145,Channel Islands,15,830,B,"61,660","60,519","64,301","70,941","77,581","82,307","83,082","29,005","28,468","30,234","33,611","36,982","39,338","39,709","32,655","32,051","34,067","37,330","40,599","42,969","43,373"
146,Denmark,,208,B,"235,189","303,108","371,026","440,383","509,740","595,876","656,789","114,411","147,194","179,977","213,097","246,217","291,431","324,239","120,778","155,914","191,049","227,286","263,523","304,445","332,550"
147,Estonia,,233,B,"381,997","315,755","249,512","233,701","217,890","194,664","192,962","171,691","136,268","100,844","94,244","87,644","80,024","80,654","210,306","179,487","148,668","139,457","130,246","114,640","112,308"
148,Faeroe Islands,,234,B,"4,285","2,900","3,593","4,583","5,096","5,517","5,735","2,440","1,575","1,921","2,450","2,700","2,795","2,940","1,845","1,325","1,672","2,133","2,396","2,722","2,795"
149,Finland,16,246,B,"63,255","99,729","136,203","192,169","248,135","314,856","343,582","31,682","49,575","67,469","96,429","125,389","159,315","174,807","31,573","50,154","68,734","95,740","122,746","155,541","168,775"
150,Iceland,,352,B,"9,584","12,738","15,892","25,492","35,091","39,072","41,853","4,248","5,727","7,207","12,413","17,619","19,070","20,725","5,336","7,011","8,685","13,079","17,472","20,002","21,128"
151,Ireland,,372,B,"227,961","226,892","350,552","589,046","730,542","749,943","806,549","112,093","108,084","172,959","309,910","360,440","359,898","394,255","115,868","118,808","177,593","279,136","370,102","390,045","412,294"
152,Isle of Man,,833,B,"34,769","36,886","39,002","41,475","43,447","45,221","45,872","16,371","17,548","18,725","20,214","21,361","22,393","22,716","18,398","19,338","20,277","21,261","22,086","22,828","23,156"
153,Latvia,,428,B,"646,007","538,093","430,178","376,725","313,786","265,418","256,889","290,800","234,216","177,632","154,745","124,675","104,011","101,028","355,207","303,877","252,546","221,980","189,111","161,407","155,861"
154,Lithuania,,440,B,"349,258","273,587","214,311","201,209","160,772","136,021","124,706","164,585","128,641","100,546","94,189","69,606","57,508","51,850","184,673","144,946","113,765","107,020","91,166","78,513","72,856"
155,Norway,17,578,B,"192,587","233,302","292,440","361,144","526,799","746,375","798,944","99,562","117,222","144,826","176,444","268,505","389,370","417,087","93,025","116,080","147,614","184,700","258,294","357,005","381,857"
156,Sweden,,752,B,"788,767","936,022","1,003,798","1,125,790","1,337,214","1,602,522","1,747,710","383,085","450,945","480,211","538,490","648,004","786,870","863,205","405,682","485,077","523,587","587,300","689,210","815,652","884,505"
157,United Kingdom,,826,B,"3,650,286","4,155,293","4,730,165","5,926,156","7,604,583","8,411,021","8,841,717","1,756,448","1,978,711","2,228,628","2,818,177","3,667,186","4,023,652","4,205,418","1,893,838","2,176,582","2,501,537","3,107,979","3,937,397","4,387,369","4,636,299"
158,Southern Europe,,925,,"4,340,454","5,985,675","7,517,054","11,974,334","16,205,444","15,830,496","15,957,631","2,062,811","2,856,852","3,610,908","5,832,012","7,872,494","7,434,286","7,482,242","2,277,643","3,128,823","3,906,146","6,142,322","8,332,950","8,396,210","8,475,389"
159,Albania,,8,B,"66,013","71,354","76,695","64,739","52,784","52,031","52,484","30,579","33,284","35,990","32,993","26,901","26,517","26,721","35,434","38,070","40,705","31,746","25,883","25,514","25,763"
160,Andorra,,20,C,"38,904","40,525","42,146","50,298","52,053","42,082","41,039","20,810","21,451","22,092","26,559","27,486","22,221","21,560","18,094","19,074","20,054","23,739","24,567","19,861","19,479"
161,Bosnia and Herzegovina,,70,I R,"56,000","69,476","82,952","47,272","38,792","38,574","37,100","26,538","33,115","39,691","22,473","18,504","18,400","17,697","29,462","36,361","43,261","24,799","20,288","20,174","19,403"
162,Croatia,,191,B R,"475,438","674,085","585,298","579,273","573,248","575,738","560,483","222,531","315,733","274,823","271,645","268,466","267,272","259,274","252,907","358,352","310,475","307,628","304,782","308,466","301,209"
163,Gibraltar,,292,B,"8,709","8,381","8,054","9,211","10,369","11,065","11,152","4,528","4,196","3,865","4,518","5,171","5,591","5,635","4,181","4,185","4,189","4,693","5,198","5,474","5,517"
164,Greece,,300,B,"618,139","857,850","1,111,665","1,190,707","1,321,149","1,242,924","1,220,395","330,038","445,004","559,794","587,677","640,731","570,528","555,797","288,101","412,846","551,871","603,030","680,418","672,396","664,598"
165,Holy See,18,336,I,768,780,785,798,794,803,792,376,378,379,378,377,374,373,392,402,406,420,417,429,419
166,Italy,,380,B,"1,428,221","1,774,953","2,121,690","3,954,785","5,787,898","5,805,325","5,907,461","642,414","809,553","976,691","1,820,290","2,663,889","2,637,798","2,691,899","785,807","965,400","1,144,999","2,134,495","3,124,009","3,167,527","3,215,562"
167,Malta,,470,B,"15,077","17,740","21,521","24,560","33,008","42,430","45,539","7,012","8,366","10,289","11,899","17,118","22,648","24,308","8,065","9,374","11,232","12,661","15,890","19,782","21,231"
168,Montenegro,,499,B,..,..,..,..,"78,507","82,541","70,984",..,..,..,..,"31,636","33,547","27,813",..,..,..,..,"46,871","48,994","43,171"
169,Portugal,,620,B,"435,782","532,822","651,472","771,184","762,825","864,814","880,188","209,922","259,337","320,319","376,774","371,536","398,390","410,655","225,860","273,485","331,153","394,410","391,289","466,424","469,533"
170,San Marino,,674,C,"3,310","3,659","4,045","4,218","4,399","5,174","5,243","1,728","1,940","2,175","2,302","2,435","2,864","2,903","1,582","1,719","1,870","1,916","1,964","2,310","2,340"
171,Serbia,19,688,B,"99,269","630,221","856,763","845,120","826,066","807,441","801,903","46,712","289,545","383,893","373,473","364,654","355,180","352,744","52,557","340,676","472,870","471,647","461,412","452,261","449,159"
172,Slovenia,,705,B,"178,077","174,419","171,018","197,276","253,786","237,616","244,790","89,514","90,255","90,464","107,131","141,285","134,460","138,120","88,563","84,164","80,554","90,145","112,501","103,156","106,670"
173,Spain,20,724,B,"821,605","1,020,067","1,657,285","4,107,226","6,280,065","5,891,208","5,947,106","390,448","499,114","838,058","2,140,680","3,238,238","2,884,000","2,892,146","431,157","520,953","819,227","1,966,546","3,041,827","3,007,208","3,054,960"
174,TFYR Macedonia,21,807,B,"95,142","109,343","125,665","127,667","129,701","130,730","130,972","39,661","45,581","52,385","53,220","54,067","54,496","54,597","55,481","63,762","73,280","74,447","75,634","76,234","76,375"
175,Western Europe,,926,,"16,250,820","18,342,531","20,467,909","21,890,740","23,604,046","25,601,680","27,869,485","8,513,179","9,365,398","10,235,464","10,832,021","11,501,379","12,506,837","13,672,830","7,737,641","8,977,133","10,232,445","11,058,719","12,102,667","13,094,843","14,196,655"
176,Austria,,40,B,"793,239","894,893","996,547","1,136,270","1,275,992","1,492,374","1,660,283","368,287","423,302","478,318","543,618","608,918","716,470","797,082","424,952","471,591","518,229","592,652","667,074","775,904","863,201"
177,Belgium,,56,C,"904,528","909,769","895,900","882,031","1,119,256","1,252,380","1,268,411","487,446","481,022","465,810","450,828","568,348","635,948","644,089","417,082","428,747","430,090","431,203","550,908","616,432","624,322"
178,France,,250,B,"5,897,267","6,087,993","6,278,718","6,737,600","7,196,481","7,918,382","7,902,783","2,999,376","3,046,083","3,092,789","3,300,859","3,508,928","3,826,543","3,808,841","2,897,891","3,041,910","3,185,929","3,436,741","3,687,553","4,091,839","4,093,942"
179,Germany,,276,B,"5,936,181","7,464,406","8,992,631","9,402,447","9,812,263","10,220,418","12,165,083","3,293,128","3,898,397","4,503,666","4,676,178","4,848,689","5,037,961","6,055,267","2,643,053","3,566,009","4,488,965","4,726,269","4,963,574","5,182,457","6,109,816"
180,Liechtenstein,,438,B,"10,906","13,311","15,483","18,898","22,342","23,799","24,683","5,956","7,068","7,980","9,434","10,867","11,605","12,013","4,950","6,243","7,503","9,464","11,475","12,194","12,670"
181,Luxembourg,,442,B,"113,795","126,106","139,750","150,618","248,888","260,573","264,073","56,062","62,292","69,286","74,951","126,129","132,428","134,207","57,733","63,814","70,464","75,667","122,759","128,145","129,866"
182,Monaco,,492,B,"20,359","21,060","21,787","21,312","21,132","21,042","21,255","9,471","9,955","10,458","10,322","10,325","10,326","10,431","10,888","11,105","11,329","10,990","10,807","10,716","10,824"
183,Netherlands,,528,B,"1,182,263","1,346,164","1,556,337","1,736,127","1,832,510","1,996,318","2,056,520","592,343","668,236","765,302","843,444","881,264","952,313","983,586","589,920","677,928","791,035","892,683","951,246","1,044,005","1,072,934"
184,Switzerland,,756,B,"1,392,282","1,478,829","1,570,756","1,805,437","2,075,182","2,416,394","2,506,394","701,110","769,043","841,855","922,387","937,911","1,183,243","1,227,314","691,172","709,786","728,901","883,050","1,137,271","1,233,151","1,279,080"
185,LATIN AMERICA AND THE CARIBBEAN,,904,,"7,169,728","6,694,640","6,579,328","7,237,476","8,246,652","9,272,027","9,508,189","3,597,037","3,349,769","3,284,119","3,596,993","4,094,772","4,602,014","4,718,981","3,572,691","3,344,871","3,295,209","3,640,483","4,151,880","4,670,013","4,789,208"
186,Caribbean,,915,,"1,056,555","1,154,700","1,256,547","1,333,118","1,353,589","1,385,784","1,399,747","549,666","596,692","645,548","682,951","692,766","710,393","718,548","506,889","558,008","610,999","650,167","660,823","675,391","681,199"
187,Anguilla,,660,B,"2,570","3,317","4,063","4,684","5,103","5,470","5,579","1,258","1,584","1,910","2,210","2,415","2,593","2,646","1,312","1,733","2,153","2,474","2,688","2,877","2,933"
188,Antigua and Barbuda,,28,B,"12,029","17,550","23,071","24,741","26,412","28,083","28,646","5,775","8,046","10,316","11,052","11,788","12,524","12,783","6,254","9,504","12,755","13,689","14,624","15,559","15,863"
189,Aruba,,533,B,"14,444","22,274","30,104","32,540","34,327","36,114","36,356","6,429","9,974","13,519","14,559","15,311","16,108","16,193","8,015","12,300","16,585","17,981","19,016","20,006","20,163"
190,Bahamas,,44,B,"26,855","31,654","36,454","45,595","54,736","59,306","61,806","13,827","16,620","19,414","23,646","27,878","29,994","31,259","13,028","15,034","17,040","21,949","26,858","29,312","30,547"
191,Barbados,,52,B,"24,024","26,224","28,424","30,624","32,825","34,475","34,660","10,065","11,235","12,405","13,575","14,746","15,488","15,572","13,959","14,989","16,019","17,049","18,079","18,987","19,088"
192,British Virgin Islands,,92,B,"8,035","10,046","12,958","15,016","17,074","19,132","19,959","4,126","5,034","6,386","7,401","8,415","9,430","9,838","3,909","5,012","6,572","7,615","8,659","9,702","10,121"
193,Caribbean Netherlands,22,535,B,"38,410","42,258","46,105","49,105","11,445","13,002","13,508","17,257","18,830","20,402","21,730","5,530","6,292","6,537","21,153","23,428","25,703","27,375","5,915","6,710","6,971"
194,Cayman Islands,,136,C,"9,387","14,320","19,253","21,655","24,057","23,726","24,355","4,622","7,166","9,709","11,011","12,312","12,143","12,465","4,765","7,154","9,544","10,644","11,745","11,583","11,890"
195,Cuba,,192,B,"34,555","26,187","17,818","17,023","14,818","13,336","13,136","17,278","12,559","7,840","7,540","6,611","5,950","5,861","17,277","13,628","9,978","9,483","8,207","7,386","7,275"
196,Curaçao,,531,B,0,0,0,0,"34,627","37,611","38,396",0,0,0,0,"14,195","15,467","15,790",0,0,0,0,"20,432","22,144","22,606"
197,Dominica,,212,B,"2,519","3,121","3,723","4,744","5,765","6,720","6,782","1,309","1,623","1,955","2,491","3,027","3,528","3,561","1,210","1,498","1,768","2,253","2,738","3,192","3,221"
198,Dominican Republic,,214,B,"291,151","323,381","355,611","376,001","393,720","415,564","424,964","181,677","198,842","216,008","228,180","238,742","251,890","257,588","109,474","124,539","139,603","147,821","154,978","163,674","167,376"
199,Grenada,,308,B,"4,263","5,544","6,825","6,902","6,980","7,057","7,124","2,106","2,746","3,386","3,424","3,463","3,502","3,536","2,157","2,798","3,439","3,478","3,517","3,555","3,588"
200,Guadeloupe,23,312,B,"65,944","74,566","83,188","89,065","94,942","98,507","99,350","32,718","36,248","39,778","41,273","42,768","43,858","44,234","33,226","38,318","43,410","47,792","52,174","54,649","55,116"
201,Haiti,,332,B,"19,084","22,458","25,832","30,468","35,104","39,529","40,533","10,606","12,635","14,664","17,413","20,162","22,774","23,353","8,478","9,823","11,168","13,055","14,942","16,755","17,180"
202,Jamaica,,388,B,"20,475","22,713","24,952","24,314","23,677","23,167","23,332","9,981","11,242","12,503","12,263","12,024","11,766","11,850","10,494","11,471","12,449","12,051","11,653","11,401","11,482"
203,Martinique,,474,B,"38,705","46,599","54,492","57,034","59,575","61,731","61,579","19,091","22,271","25,451","25,891","26,330","26,989","26,923","19,614","24,328","29,041","31,143","33,245","34,742","34,656"
204,Montserrat,,500,B,"2,013","1,612","1,211","1,244","1,277","1,351","1,364","1,029",825,622,639,657,696,703,984,787,589,605,620,655,661
205,Puerto Rico,,630,B,"321,909","338,067","355,038","352,144","304,969","280,494","273,494","153,354","160,739","168,480","166,780","142,939","130,916","127,649","168,555","177,328","186,558","185,364","162,030","149,578","145,845"
206,Saint Kitts and Nevis,,659,B,"3,210","4,248","5,871","6,682","7,245","7,443","7,587","1,642","2,196","3,068","3,501","3,806","3,916","3,992","1,568","2,052","2,803","3,181","3,439","3,527","3,595"
207,Saint Lucia,,662,B,"5,305","7,152","9,868","11,468","12,100","12,771","12,889","2,616","3,560","4,950","5,783","6,106","6,446","6,506","2,689","3,592","4,918","5,685","5,994","6,325","6,383"
208,Saint Vincent and the Grenadines,,670,B,"3,970","4,135","4,307","4,395","4,485","4,577","4,595","1,928","2,011","2,099","2,144","2,190","2,237","2,246","2,042","2,124","2,208","2,251","2,295","2,340","2,349"
209,Sint Maarten (Dutch part),,534,B,..,..,..,"13,100","26,200","27,295","28,260",..,..,..,"6,285","12,570","13,077","13,540",..,..,..,"6,815","13,630","14,218","14,720"
210,Trinidad and Tobago,,780,B,"50,666","45,994","41,753","44,812","48,226","49,883","50,214","23,528","21,303","19,288","20,647","23,152","24,326","24,488","27,138","24,691","22,465","24,165","25,074","25,557","25,726"
211,Turks and Caicos Islands,,796,B,"5,062","7,039","9,015","13,115","17,216","22,719","24,534","2,620","3,643","4,665","6,787","8,907","11,755","12,695","2,442","3,396","4,350","6,328","8,309","10,964","11,839"
212,United States Virgin Islands,,850,B,"51,970","54,241","56,611","56,647","56,684","56,721","56,745","24,824","25,760","26,730","26,726","26,722","26,728","26,740","27,146","28,481","29,881","29,921","29,962","29,993","30,005"
213,Central America,,916,,"1,829,911","1,298,916","1,107,577","1,385,713","1,749,940","2,043,212","2,092,819","903,333","643,244","554,886","692,144","874,453","1,022,596","1,047,594","926,578","655,672","552,691","693,569","875,487","1,020,616","1,045,225"
214,Belize,,84,B R ,"30,404","33,446","36,488","41,424","46,360","54,674","59,998","16,393","17,512","18,631","21,045","23,459","27,502","30,180","14,011","15,934","17,857","20,379","22,901","27,172","29,818"
215,Costa Rica,,188,B R,"417,628","364,287","310,946","358,175","405,404","411,697","414,214","212,173","184,485","156,798","176,335","195,873","197,613","198,822","205,455","179,802","154,148","181,840","209,531","214,084","215,392"
216,El Salvador,,222,B R,"47,360","39,537","31,713","36,019","40,324","42,045","42,323","22,218","18,564","14,909","17,029","19,148","19,996","20,129","25,142","20,973","16,804","18,990","21,176","22,049","22,194"
217,Guatemala,,320,B R,"264,257","156,188","48,119","57,252","66,384","78,352","81,528","112,615","66,913","21,211","26,064","30,917","37,136","38,642","151,642","89,275","26,908","31,188","35,467","41,216","42,886"
218,Honduras,,340,B R,"270,423","149,442","28,461","27,875","27,288","38,317","38,700","137,573","76,077","14,581","14,444","14,306","20,116","20,318","132,850","73,365","13,880","13,431","12,982","18,201","18,382"
219,Mexico,,484,B R,"695,674","458,549","538,051","712,487","969,538","1,193,155","1,224,169","348,353","229,589","270,896","359,642","490,691","604,669","620,387","347,321","228,960","267,155","352,845","478,847","588,486","603,782"
220,Nicaragua,,558,B R,"41,421","26,619","30,389","34,918","37,333","40,262","41,159","20,860","13,364","15,423","17,773","19,128","20,723","21,185","20,561","13,255","14,966","17,145","18,205","19,539","19,974"
221,Panama,,591,B,"62,744","70,848","83,410","117,563","157,309","184,710","190,728","33,148","36,740","42,437","59,812","80,931","94,841","97,931","29,596","34,108","40,973","57,751","76,378","89,869","92,797"
222,South America,,931,,"4,283,262","4,241,024","4,215,204","4,518,645","5,143,123","5,843,031","6,015,623","2,144,038","2,109,833","2,083,685","2,221,898","2,527,553","2,869,025","2,952,839","2,139,224","2,131,191","2,131,519","2,296,747","2,615,570","2,974,006","3,062,784"
223,Argentina,,32,B,"1,649,919","1,595,069","1,540,219","1,673,088","1,805,957","2,086,302","2,164,524","788,130","753,027","717,924","774,810","831,696","960,310","996,316","861,789","842,042","822,295","898,278","974,261","1,125,992","1,168,208"
224,Bolivia (Plurinational State of),,68,B,"73,758","83,598","92,658","107,745","122,846","142,989","148,837","37,549","42,806","47,665","56,019","64,380","74,939","78,004","36,209","40,792","44,993","51,726","58,466","68,050","70,833"
225,Brazil,,76,B,"798,517","741,557","684,596","638,582","592,568","716,568","735,557","426,147","396,152","366,156","343,019","319,882","386,838","397,090","372,370","345,405","318,440","295,563","272,686","329,730","338,467"
226,Chile,,152,B,"107,501","142,417","177,332","273,384","369,436","469,436","488,571","54,547","69,632","84,717","129,398","174,079","221,200","230,217","52,954","72,785","92,615","143,986","195,357","248,236","258,354"
227,Colombia,,170,B,"104,277","106,943","109,609","107,612","124,271","139,134","142,319","53,109","54,666","56,223","55,706","65,622","74,108","75,805","51,168","52,277","53,386","51,906","58,649","65,026","66,514"
228,Ecuador,,218,B R,"78,663","115,093","151,523","187,404","325,366","387,513","399,068","38,531","57,879","77,227","96,188","167,773","200,352","206,327","40,132","57,214","74,296","91,216","157,593","187,161","192,741"
229,Falkland Islands (Malvinas),,238,B,855,868,"1,067","1,166","1,436","1,571","1,579",488,510,636,675,807,873,878,367,358,431,491,629,698,701
230,French Guiana,,254,B,"63,612","70,131","76,649","86,468","96,288","106,108","111,718","34,843","36,869","38,895","42,729","46,564","50,399","53,064","28,769","33,262","37,754","43,739","49,724","55,709","58,654"
231,Guyana,,328,B,"4,095","6,352","8,610","10,868","13,126","15,384","15,530","2,200","3,405","4,611","5,817","7,023","8,229","8,308","1,895","2,947","3,999","5,051","6,103","7,155","7,222"
232,Paraguay,,600,B,"195,884","186,570","176,608","168,243","160,299","156,462","160,519","102,816","97,869","92,052","87,698","83,394","81,303","83,412","93,068","88,701","84,556","80,545","76,905","75,159","77,107"
233,Peru,,604,B,"65,025","56,732","66,293","77,541","84,066","91,481","93,780","32,538","28,061","32,955","38,746","42,204","45,805","46,957","32,487","28,671","33,338","38,795","41,862","45,676","46,823"
234,Suriname,,740,C,"18,031","22,270","27,506","33,664","39,713","46,836","47,699","9,731","12,057","14,892","18,339","21,659","25,569","26,041","8,300","10,213","12,614","15,325","18,054","21,267","21,658"
235,Uruguay,,858,B,"98,116","93,428","88,871","82,318","76,263","78,799","79,586","45,830","43,427","41,093","37,658","34,507","35,642","35,998","52,286","50,001","47,778","44,660","41,756","43,157","43,588"
236,Venezuela (Bolivarian Republic of),,862,B,"1,025,009","1,019,996","1,013,663","1,070,562","1,331,488","1,404,448","1,426,336","517,579","513,473","508,639","535,096","667,963","703,458","714,422","507,430","506,523","505,024","535,466","663,525","700,990","711,914"
237,NORTHERN AMERICA,,905,,"27,610,542","33,341,147","40,351,848","45,363,387","50,970,996","55,766,224","57,664,154","13,497,319","16,402,001","19,983,930","22,544,728","24,944,651","27,048,230","27,968,436","14,113,223","16,939,146","20,367,918","22,818,659","26,026,345","28,717,994","29,695,718"
238,Bermuda,,60,B,"15,683","16,676","17,668","18,276","18,884","19,126","18,954","7,557","8,044","8,531","8,866","9,202","9,336","9,253","8,126","8,632","9,137","9,410","9,682","9,790","9,701"
239,Canada,,124,B,"4,333,318","4,864,778","5,511,914","6,078,985","6,761,226","7,561,226","7,861,226","2,109,652","2,356,105","2,659,135","2,915,838","3,236,539","3,619,492","3,763,100","2,223,666","2,508,673","2,852,779","3,163,147","3,524,687","3,941,734","4,098,126"
240,Greenland,,304,B,"9,416","7,320","6,755","6,686","6,226","6,009","6,014","6,565","5,011","4,723","4,549","4,210","3,951","3,955","2,851","2,309","2,032","2,137","2,016","2,058","2,059"
241,Saint Pierre and Miquelon,,666,B,"1,099","1,320","1,458","1,147","1,017",986,990,560,682,756,597,531,516,519,539,638,702,550,486,470,471
242,United States of America,,840,B,"23,251,026","28,451,053","34,814,053","39,258,293","44,183,643","48,178,877","49,776,970","11,372,985","14,032,159","17,310,785","19,614,878","21,694,169","23,414,935","24,191,609","11,878,041","14,418,894","17,503,268","19,643,415","22,489,474","24,763,942","25,585,361"
243,OCEANIA,,909,,"4,730,858","5,022,263","5,360,027","6,023,421","7,124,634","8,051,745","8,410,933","2,415,042","2,535,448","2,676,143","2,988,897","3,538,007","3,960,480","4,122,782","2,315,816","2,486,815","2,683,884","3,034,524","3,586,627","4,091,265","4,288,151"
244,Australia/New Zealand,,927,,"4,473,260","4,741,947","5,065,063","5,717,982","6,830,423","7,750,276","8,102,983","2,271,419","2,382,510","2,519,827","2,826,880","3,381,077","3,799,017","3,957,706","2,201,841","2,359,437","2,545,236","2,891,102","3,449,346","3,951,259","4,145,277"
245,Australia,24,36,B,"3,955,213","4,153,330","4,386,250","4,878,030","5,882,980","6,710,540","7,035,560","2,013,196","2,093,280","2,189,900","2,419,190","2,922,030","3,296,230","3,441,530","1,942,017","2,060,050","2,196,350","2,458,840","2,960,950","3,414,310","3,594,030"
246,New Zealand,,554,B,"518,047","588,617","678,813","839,952","947,443","1,039,736","1,067,423","258,223","289,230","329,927","407,690","459,047","502,787","516,176","259,824","299,387","348,886","432,262","488,396","536,949","551,247"
247,Melanesia,,928,,"90,210","96,828","94,078","103,878","105,684","114,595","118,078","50,143","54,089","52,701","58,643","59,426","64,613","66,642","40,067","42,739","41,377","45,235","46,258","49,982","51,436"
248,Fiji,,242,B,"13,283","13,001","12,719","12,435","13,351","13,751","13,911","6,847","6,726","6,601","6,564","7,137","7,421","7,508","6,436","6,275","6,118","5,871","6,214","6,330","6,403"
249,New Caledonia,,540,B,"37,673","43,662","49,651","55,405","61,158","64,290","66,001","20,885","23,908","26,932","29,909","32,886","34,621","35,543","16,788","19,754","22,719","25,496","28,272","29,669","30,458"
250,Papua New Guinea,,598,C R,"32,720","33,526","25,101","29,967","25,424","30,782","32,389","18,793","19,832","15,624","18,942","16,370","19,538","20,558","13,927","13,694","9,477","11,025","9,054","11,244","11,831"
251,Solomon Islands,,90,B,"4,226","4,178","3,981","3,271","2,760","2,585","2,532","2,349","2,328","2,224","1,830","1,546","1,450","1,421","1,877","1,850","1,757","1,441","1,214","1,135","1,111"
252,Vanuatu,,548,B,"2,308","2,461","2,626","2,800","2,991","3,187","3,245","1,269","1,295","1,320","1,398","1,487","1,583","1,612","1,039","1,166","1,306","1,402","1,504","1,604","1,633"
