Airline,Timing,Los Angeles,Phoenix,San Diego,San Francisco,Seattle
Alsaka,on time,497,221,212,503,"1,841"
NA,delayed,62,12,20,102,305
Am West,on time,694,4840,383,320,201
NA,delayed,117,415,65,129,61
